ID,ORF
1005761_1,
1005763_1,
1005765_1,
1005767_1,
1005769_1,
1005771_1,
1005785_1,
1005787_1,
1005789_1,
1005791_1,
1005793_1,
1005795_1,
1005809_1,
1005811_1,
1005813_1,
1005815_1,
1005817_1,
1005819_1,
1005833_1,
1005835_1,
1005837_1,
1005839_1,
1005841_1,
1005843_1,
1005857_1,Rv0001
1005859_1,Rv0003
1005861_1,Rv0005
1005863_1,Rv0007
1005865_1,Rv0009
1005867_1,Rv0011c
1005881_1,Rv0025
1005883_1,Rv0027
1005885_1,Rv0029
1005887_1,Rv0031
1005889_1,Rv0033
1005891_1,Rv0035
1005905_1,Rv0049
1005907_1,Rv0051
1005909_1,Rv0053
1005911_1,Rv0055
1005913_1,Rv0057
1005915_1,Rv0059
1005929_1,Rv0073
1005931_1,Rv0075
1005933_1,Rv0077c
1005935_1,Rv0079
1005937_1,Rv0081
1005939_1,Rv0083
1006241_1,Rv0385
1006243_1,Rv0387c
1006245_1,Rv0389
1006247_1,Rv0391
1006249_1,Rv0393
1006251_1,Rv0395
1006265_1,Rv0409
1006267_1,Rv0411c
1006269_1,Rv0413
1006271_1,Rv0415
1006273_1,Rv0417
1006275_1,Rv0419
1006289_1,Rv0433
1006291_1,Rv0435c
1006293_1,Rv0437c
1006295_1,Rv0439c
1006297_1,Rv0441c
1006299_1,Rv0443
1006313_1,Rv0457c
1006315_1,Rv0459
1006317_1,Rv0461
1006319_1,Rv0463
1006321_1,Rv0465c
1006323_1,Rv0467
1006625_1,Rv0769
1006627_1,Rv0771
1006629_1,Rv0773c
1006631_1,Rv0775
1006633_1,Rv0777
1006635_1,Rv0779c
1006649_1,Rv0793
1006651_1,Rv0795
1006653_1,Rv0797
1006655_1,Rv0799c
1006657_1,Rv0801
1006659_1,Rv0803
1006673_1,Rv0817c
1006675_1,Rv0819
1006677_1,Rv0821c
1006679_1,Rv0823c
1006681_1,Rv0825c
1006683_1,Rv0827c
1006697_1,Rv0841c
1006699_1,Rv0843
1006701_1,Rv0845
1006703_1,Rv0847
1006705_1,Rv0849
1006707_1,Rv0851c
1007009_1,Rv1153c
1007011_1,Rv1155
1007013_1,Rv1157c
1007015_1,Rv1159
1007017_1,Rv1161
1007019_1,Rv1163
1007033_1,Rv1177
1007035_1,Rv1179c
1007037_1,Rv1181
1007039_1,Rv1183
1007041_1,Rv1185c
1007043_1,Rv1187
1007057_1,Rv1201c
1007059_1,Rv1203c
1007061_1,Rv1205
1007063_1,Rv1207
1007065_1,Rv1209
1007067_1,Rv1211
1007081_1,Rv1225c
1007083_1,Rv1227c
1007085_1,Rv1229c
1007087_1,Rv1231c
1007089_1,Rv1233c
1007091_1,Rv1235
1007393_1,Rv1537
1007395_1,Rv1539
1007397_1,Rv1541c
1007399_1,Rv1543
1007401_1,Rv1545
1007403_1,Rv1547
1007417_1,Rv1561
1007419_1,Rv1563c
1007421_1,Rv1565c
1007423_1,Rv1567c
1007425_1,Rv1569
1007427_1,Rv1571
1007441_1,Rv1585c
1007443_1,Rv1587c
1007445_1,Rv1589
1007447_1,Rv1591
1007449_1,Rv1593c
1007451_1,Rv1595
1007465_1,Rv1609
1007467_1,Rv1611
1007469_1,Rv1613
1007471_1,Rv1615
1007473_1,Rv1617
1007475_1,Rv1619
1007777_1,Rv1921c
1007779_1,Rv1923
1007781_1,Rv1925
1007783_1,Rv1927
1007785_1,Rv1929c
1007787_1,Rv1931c
1007801_1,Rv1945
1007803_1,Rv1947
1007805_1,Rv1949c
1007807_1,Rv1951c
1007809_1,Rv1953
1007811_1,Rv1955
1007825_1,Rv1969
1007827_1,Rv1971
1007829_1,Rv1973
1007831_1,Rv1975
1007833_1,Rv1977
1007835_1,Rv1979c
